,0
te_site_dow_mean,1531
site_month_block_mean,1408
temp_max,1300
temp_range,1159
factor_1_pred,1127
aqi,1123
factor_4_deviation_yearly,1110
temp_min,1030
lag_rate_182,1019
lag_rate_91,1000
factor_0_deviation_yearly,975
factor_2_pred,961
factor_1_deviation_yearly,956
cdc_ili_rate,947
days_since_epoch,916
factor_3_deviation_yearly,898
lag_rate_77,894
dow,887
factor_4_pred,878
factor_2_deviation_yearly,876
factor_3_pred,853
lag_rate_364,852
factor_4_lag_77,848
factor_2_lag_364,816
factor_1_lag_91,813
lag_364,805
factor_0_pred,803
factor_4_lag_364,800
lag_rate_70,799
delta_7_28,795
factor_0_lag_77,793
factor_2_lag_91,790
factor_3_lag_77,785
lag_rate_63,778
factor_4_momentum,770
factor_1_lag_364,769
roll_std_7,767
factor_4_lag_70,755
factor_3_lag_182,754
factor_2_momentum,752
factor_1_lag_77,736
site_dow_mean,729
factor_0_momentum,728
factor_0_lag_91,714
factor_3_lag_364,711
factor_0_lag_364,707
factor_1_lag_182,707
days_to_nearest_holiday,706
factor_2_lag_77,705
factor_4_lag_182,699
factor_0_lag_63,690
factor_3_momentum,666
factor_4_lag_91,666
factor_3_lag_91,661
factor_3_lag_70,657
snowfall,656
days_until_thanksgiving,654
lag_91,653
factor_1_lag_70,649
factor_1_momentum,648
doy_cos,644
factor_0_lag_70,642
days_since_july4,635
factor_2_lag_182,631
factor_0_lag_182,628
factor_1_lag_63,624
factor_4_roll_mean_28,615
factor_4_roll_mean_7,614
factor_4_lag_63,610
delta_28_91,602
factor_2_lag_70,601
factor_3_lag_63,598
factor_2_roll_mean_7,593
lag_182,588
lag_diff,576
factor_2_lag_63,572
factor_3_roll_mean_7,559
te_site_admit_rate,558
factor_2_roll_mean_28,557
day_of_year,546
factor_2_roll_mean_14,544
factor_4_roll_mean_14,543
lag_77,538
factor_0_roll_mean_7,533
lag_63,531
roll_std_14,531
precip,531
lag_70,525
factor_1_roll_mean_7,508
factor_3_roll_mean_28,494
days_since_xmas,489
factor_1_roll_mean_28,477
day,472
factor_1_roll_mean_14,460
site_x_dow,454
factor_3_roll_mean_14,429
roll_std_28,419
doy_sin,418
factor_0_roll_mean_28,415
dow_cos,411
te_site_block_mean_admitted,399
factor_0_roll_mean_14,394
dow_sin,391
weekend_x_block,383
days_until_school_start,373
roll_std_56,371
days_since_school_start,349
roll_mean_56,342
year_frac,342
roll_mean_14,320
roll_mean_91,316
roll_std_91,311
roll_mean_7,303
te_site_block_mean_total,291
is_covid_era,271
roll_mean_28,255
xblock_b3_total_91,211
roll_min_7,200
roll_max_7,180
te_site_mean_admitted_enc,179
xblock_b3_total_182,166
xblock_b3_roll_mean_7,163
roll_max_91,161
xblock_b3_total_70,147
xblock_b3_total_63,144
xblock_b3_total_77,144
roll_max_28,136
roll_min_91,134
site_x_month,133
roll_max_56,128
xblock_b3_roll_mean_14,123
xblock_b3_roll_mean_28,122
school_in_session,119
roll_max_14,115
xblock_b3_roll_mean_56,113
roll_min_14,111
xblock_b3_total_364,111
roll_min_56,109
week_of_year,106
te_site_mean_total_enc,102
block,101
roll_min_28,81
xblock_b3_roll_mean_91,69
holiday_x_block,61
year,56
month_sin,41
is_weekend,41
is_halloween,39
month_cos,29
event_count,26
site_enc,20
month,14
is_us_holiday,7
quarter,3
te_site_month_mean,0
