,0
site_month_block_mean,672
temp_max,423
days_since_epoch,412
dow,391
site_dow_mean,389
temp_range,343
aqi,333
temp_min,297
cdc_ili_rate,287
snowfall,283
site_x_dow,275
doy_cos,266
factor_1_pred,251
lag_364,251
roll_mean_91,251
factor_1_deviation_yearly,235
factor_3_deviation_yearly,234
delta_7_28,230
factor_4_pred,228
lag_rate_91,228
lag_rate_77,224
weekend_x_block,219
factor_4_deviation_yearly,211
lag_182,207
dow_cos,207
factor_2_pred,203
factor_0_lag_77,202
factor_4_lag_77,201
roll_mean_56,199
lag_91,196
factor_3_lag_77,193
day_of_year,186
factor_3_pred,185
factor_0_deviation_yearly,183
lag_70,182
factor_0_momentum,181
factor_4_lag_364,179
lag_rate_182,179
lag_rate_70,177
days_since_july4,176
days_until_thanksgiving,176
lag_rate_63,176
days_to_nearest_holiday,174
lag_rate_364,170
factor_2_deviation_yearly,169
factor_4_roll_mean_28,164
factor_2_lag_77,159
factor_1_lag_91,158
delta_28_91,156
factor_2_lag_91,154
lag_77,153
days_since_xmas,151
factor_3_lag_364,151
roll_std_7,150
factor_1_lag_182,150
lag_63,149
factor_1_momentum,147
year_frac,147
factor_0_pred,145
factor_1_lag_77,144
factor_2_roll_mean_28,143
factor_4_lag_182,143
factor_0_lag_91,142
factor_2_lag_63,142
factor_4_lag_63,142
factor_2_lag_364,139
factor_2_momentum,139
factor_3_lag_182,138
factor_1_lag_364,138
factor_0_lag_63,137
factor_4_momentum,137
factor_1_lag_70,137
factor_3_roll_mean_14,136
factor_2_roll_mean_7,134
dow_sin,130
factor_3_roll_mean_28,130
factor_1_roll_mean_7,129
factor_0_lag_364,128
precip,128
factor_4_lag_91,128
factor_4_lag_70,128
factor_3_lag_63,127
factor_2_lag_70,127
factor_2_roll_mean_14,127
factor_4_roll_mean_7,126
factor_3_roll_mean_7,126
factor_0_roll_mean_28,125
factor_3_lag_70,125
factor_1_lag_63,124
roll_mean_28,124
factor_3_momentum,124
factor_0_lag_70,121
factor_2_lag_182,116
factor_3_lag_91,114
factor_1_roll_mean_14,111
roll_mean_7,108
factor_0_lag_182,107
lag_diff,104
days_until_school_start,103
factor_0_roll_mean_7,101
day,98
factor_4_roll_mean_14,93
roll_mean_14,92
roll_std_91,91
roll_std_14,80
factor_0_roll_mean_14,80
roll_max_91,80
days_since_school_start,79
roll_std_28,79
doy_sin,78
factor_1_roll_mean_28,71
is_covid_era,71
roll_std_56,62
roll_min_7,62
xblock_b3_roll_mean_28,61
xblock_b3_roll_mean_7,61
roll_max_56,57
xblock_b3_total_91,51
roll_min_56,51
roll_max_7,51
roll_max_14,48
block,48
roll_min_91,47
roll_max_28,44
school_in_session,42
xblock_b3_roll_mean_91,39
xblock_b3_total_77,37
year,36
roll_min_14,35
site_x_month,34
xblock_b3_roll_mean_14,29
week_of_year,27
xblock_b3_roll_mean_56,27
xblock_b3_total_70,26
roll_min_28,24
is_halloween,19
xblock_b3_total_182,14
month_cos,14
xblock_b3_total_63,13
site_enc,13
is_weekend,12
holiday_x_block,11
xblock_b3_total_364,9
month_sin,9
month,7
is_us_holiday,6
event_count,4
quarter,0
