,0
site_month_block_mean,860
days_since_epoch,722
temp_range,694
factor_1_deviation_yearly,661
temp_max,640
factor_0_deviation_yearly,634
factor_1_pred,633
lag_rate_182,619
temp_min,608
lag_rate_91,602
lag_rate_63,581
aqi,581
factor_4_pred,571
lag_rate_70,571
factor_2_pred,566
factor_4_lag_364,558
factor_4_lag_77,557
lag_rate_364,540
factor_4_deviation_yearly,540
lag_rate_77,533
factor_2_deviation_yearly,529
delta_7_28,529
factor_3_deviation_yearly,528
dow,526
site_dow_mean,516
factor_2_lag_364,514
factor_3_pred,514
cdc_ili_rate,509
factor_3_lag_364,503
factor_4_lag_182,503
factor_1_lag_91,502
factor_0_lag_77,500
factor_1_lag_364,482
factor_0_momentum,481
factor_4_momentum,479
factor_2_lag_91,470
factor_1_lag_77,470
factor_0_pred,463
factor_3_lag_77,461
factor_4_lag_91,460
factor_1_lag_182,458
factor_3_momentum,454
lag_364,447
factor_2_lag_77,444
factor_3_lag_182,432
factor_0_lag_182,424
lag_91,423
factor_2_lag_182,420
factor_1_lag_63,416
factor_1_momentum,414
roll_std_7,413
delta_28_91,410
factor_2_momentum,408
factor_3_lag_91,408
factor_0_lag_91,398
factor_2_lag_63,397
factor_3_lag_63,396
days_to_nearest_holiday,396
factor_4_lag_70,394
factor_0_lag_63,385
factor_0_lag_364,383
factor_2_lag_70,382
factor_1_lag_70,371
lag_182,367
factor_4_roll_mean_28,365
precip,356
doy_cos,355
factor_4_roll_mean_7,355
factor_4_lag_63,353
lag_diff,353
days_since_july4,353
factor_2_roll_mean_28,341
factor_2_roll_mean_7,340
factor_0_lag_70,339
days_until_thanksgiving,338
factor_3_lag_70,328
factor_4_roll_mean_14,326
factor_1_roll_mean_7,322
lag_63,322
factor_0_roll_mean_28,321
site_x_dow,318
lag_70,317
factor_3_roll_mean_7,315
roll_std_14,313
factor_1_roll_mean_14,300
lag_77,293
factor_3_roll_mean_28,292
factor_0_roll_mean_7,289
snowfall,288
roll_std_28,284
factor_3_roll_mean_14,283
day,281
factor_2_roll_mean_14,275
factor_1_roll_mean_28,274
roll_mean_91,268
doy_sin,250
factor_0_roll_mean_14,245
day_of_year,241
dow_cos,234
roll_mean_56,230
days_since_xmas,222
roll_std_56,222
weekend_x_block,214
dow_sin,194
days_until_school_start,178
roll_mean_7,176
roll_std_91,175
roll_mean_28,166
roll_mean_14,165
days_since_school_start,162
roll_min_7,111
roll_max_7,104
roll_min_91,95
roll_max_56,93
roll_max_14,92
is_covid_era,92
roll_max_91,88
site_x_month,79
roll_min_56,75
block,74
roll_max_28,69
year_frac,63
roll_min_14,59
week_of_year,48
roll_min_28,43
school_in_session,39
holiday_x_block,26
is_halloween,22
event_count,19
month_cos,19
month_sin,14
year,7
site_enc,4
month,3
is_weekend,2
is_us_holiday,2
quarter,1
