fold_id,window,total_wape,admitted_wape,total_rmse,admitted_rmse,total_mae,admitted_mae,total_r2,admitted_r2,n_rows
1,2025-01-01..2025-02-28,0.14811479443331263,0.2861396813444458,5.75717314336069,3.1046022907006465,4.4589465530596435,2.4283501161890007,0.8687649560097737,0.6914191249514242,20656
2,2025-03-01..2025-04-30,0.1399538031910614,0.2823762744429638,5.487413922066634,3.0940261592055642,4.237774627923459,2.4216867469879517,0.8750299059097169,0.687536715175536,22576
3,2025-05-01..2025-06-30,0.14961625958630664,0.2794406331363392,5.850900365029512,3.0582071729505245,4.599884833451453,2.3960400425230333,0.8583979481922666,0.6922869450912106,22576
4,2025-07-01..2025-08-31,0.15116898963147107,0.27648499374739477,6.002332407511452,3.004802145227394,4.697554925584692,2.350416371367824,0.8562101864960217,0.7013616513133067,22576
