site,block,feature,total_coef,rate_coef
A,0,const,1.3945418942977315,-0.22173250423363272
A,0,fourier_7_sin_1,-0.02979376145881844,0.02480295882469297
A,0,fourier_7_cos_1,0.09071878486384462,-0.017712078374439447
A,0,fourier_7_sin_2,-0.018999418967013106,0.003879080359852569
A,0,fourier_7_cos_2,0.02329310941221827,0.010708925804647386
A,0,fourier_7_sin_3,0.005069446897627505,-0.0033891683525485283
A,0,fourier_7_cos_3,0.03147797724072041,0.00147002943253614
A,0,fourier_7_sin_4,-0.005069446897626522,0.0033891683525484537
A,0,fourier_7_cos_4,0.03147797724072017,0.0014700294325364375
A,0,fourier_7_sin_5,0.01899941896701325,-0.0038790803598527106
A,0,fourier_7_cos_5,0.023293109412218755,0.010708925804647088
A,0,fourier_365.25_sin_1,-0.0451950129312495,-0.02633943251858276
A,0,fourier_365.25_cos_1,0.038424726920176976,-0.02485644273897238
A,0,fourier_365.25_sin_2,0.0275664981631932,0.005872757132944076
A,0,fourier_365.25_cos_2,0.03750483119071708,-0.05629922484487497
A,0,fourier_365.25_sin_3,-0.006373016452839189,0.00014944855917615178
A,0,fourier_365.25_cos_3,-0.03280150186754849,0.011946704066678762
A,0,dow_1,0.19447773953950992,-0.029689688723348446
A,0,dow_2,0.18598779025524884,-0.025859719658356584
A,0,dow_3,0.1799783754522125,-0.024038231048032235
A,0,dow_4,0.17605285513638236,-0.026566584500430927
A,0,dow_5,0.2001401810528974,-0.04022988279517145
A,0,dow_6,0.21711614752843775,-0.04209143314998681
A,0,trend,0.019326296830152224,-0.004168464658702294
A,0,is_holiday,0.10268566799732935,-0.0008816997950056302
A,0,is_halloween,-0.10385717921349603,0.0074741062110060845
A,0,days_since_xmas,0.00023018453341947719,-0.00018363072078761048
A,0,days_until_thanksgiving,0.0005524583520473733,-0.0002524620229843342
A,0,days_since_july4,0.00020337750603755032,2.242014933803981e-06
A,0,days_to_nearest_holiday,0.0022957914474242965,-0.004573983005340124
A,0,school_in_session,-0.009991908326135224,0.09079045653232218
A,0,days_since_school_start,0.0013530683409661087,-0.0008516445405035354
A,0,days_until_school_start,0.0018465051236177163,-0.001407440790612342
A,0,is_covid_era,-0.0673543298059462,0.057160944763584895
A,0,temp_min,0.0004272990833231285,-0.0006135432094441835
A,0,temp_max,0.0032986152049288547,-0.00023058570369312545
A,0,precip,0.03532145114263655,-0.003296501836830732
A,0,snowfall,-0.035651341992629385,-0.07909308694218645
A,0,temp_range,0.0028713161216210163,0.00038295750572961683
A,1,const,2.0700202918876376,-0.29737607800772664
A,1,fourier_7_sin_1,0.01801349369411191,0.030565076864096173
A,1,fourier_7_cos_1,0.10617547460337796,-0.0532313622565252
A,1,fourier_7_sin_2,-0.004486231268298599,0.005606939661041974
A,1,fourier_7_cos_2,0.0682516718232172,0.0014077542016624769
A,1,fourier_7_sin_3,-0.0015313287190702747,-0.008527102466095678
A,1,fourier_7_cos_3,0.05576296386203124,-0.012682443300442405
A,1,fourier_7_sin_4,0.0015313287190681845,0.008527102466095525
A,1,fourier_7_cos_4,0.05576296386205244,-0.012682443300442079
A,1,fourier_7_sin_5,0.0044862312683001645,-0.005606939661042019
A,1,fourier_7_cos_5,0.06825167182324327,0.0014077542016622383
A,1,fourier_365.25_sin_1,-0.022101841633196933,0.02961183923319353
A,1,fourier_365.25_cos_1,0.057407582036973305,-0.03638963656382411
A,1,fourier_365.25_sin_2,0.029843411941075742,-0.04021305397836995
A,1,fourier_365.25_cos_2,0.02943062229005867,-0.003841965219986586
A,1,fourier_365.25_sin_3,-0.01509994813358159,0.005846415889052694
A,1,fourier_365.25_cos_3,-0.01993867233237752,0.013824018831464094
A,1,dow_1,0.2985219134718738,-0.04145733956425909
A,1,dow_2,0.28724699701837336,-0.03199597701106662
A,1,dow_3,0.27980727059001,-0.027561060461056497
A,1,dow_4,0.27418995417240355,-0.02788374485230081
A,1,dow_5,0.27541522467660623,-0.05144325917670958
A,1,dow_6,0.29335314446337374,-0.05612209969685726
A,1,trend,0.039973028350213345,0.013954321537291753
A,1,is_holiday,-0.03559192525638711,-0.04434924892921233
A,1,is_halloween,-0.04299934102937524,0.01624804531108831
A,1,days_since_xmas,6.918056454693162e-05,-0.00014531285461047064
A,1,days_until_thanksgiving,0.00029474584642990524,-0.00017618574766620665
A,1,days_since_july4,0.00017117864175277724,-0.00033654666308905064
A,1,days_to_nearest_holiday,0.0017011812953244233,-0.0009552933916927241
A,1,school_in_session,0.01461944890712501,-0.01551945609502907
A,1,days_since_school_start,0.001306177042206466,-0.0005565096838360416
A,1,days_until_school_start,0.0017815288589242166,-0.0007578752276792312
A,1,is_covid_era,-0.07417269774061526,0.05669293827681005
A,1,temp_min,0.0005395439793999547,-0.001227900130692592
A,1,temp_max,0.0022913080325596314,-0.0012285614787987506
A,1,precip,0.03866518707035217,-0.018117569784512663
A,1,snowfall,-0.006878149088195057,0.0018448400248079167
A,1,temp_range,0.0017517640530638175,-6.613480974457183e-07
A,2,const,2.640383019303264,-0.34934947581446346
A,2,fourier_7_sin_1,0.014995354292472306,0.0718780849438082
A,2,fourier_7_cos_1,0.12341945614576152,-0.047626165049226815
A,2,fourier_7_sin_2,0.004717315246696332,0.017858050185585478
A,2,fourier_7_cos_2,0.07803995747679113,0.024836106987999963
A,2,fourier_7_sin_3,-0.0076309824323563405,-0.013715416118288162
A,2,fourier_7_cos_3,0.07292736521546019,0.000577561809845988
A,2,fourier_7_sin_4,0.007630982432372422,0.013715416118288
A,2,fourier_7_cos_4,0.07292736521546751,0.0005775618098460563
A,2,fourier_7_sin_5,-0.004717315246709232,-0.017858050185585526
A,2,fourier_7_cos_5,0.07803995747681582,0.024836106987999686
A,2,fourier_365.25_sin_1,-0.06384607658033617,0.02329061327556857
A,2,fourier_365.25_cos_1,0.04888155667838325,-0.006723395432577065
A,2,fourier_365.25_sin_2,0.019001637478148013,-0.04144354478843539
A,2,fourier_365.25_cos_2,0.019525753829452305,-0.020756239888011105
A,2,fourier_365.25_sin_3,-0.021865216278193548,0.006692210683493909
A,2,fourier_365.25_cos_3,-0.02095327711331144,0.006445566725992683
A,2,dow_1,0.379166684342511,-0.04078860565346841
A,2,dow_2,0.3675499310667749,-0.0322978847608483
A,2,dow_3,0.3533720317779673,-0.03215865761834675
A,2,dow_4,0.35601292489424347,-0.034360488706653425
A,2,dow_5,0.35695635084805816,-0.07404118636910606
A,2,dow_6,0.37173129966236373,-0.07944915723215168
A,2,trend,0.02552345678209232,0.02296455696214726
A,2,is_holiday,-0.03032657371935431,-0.15824888932351777
A,2,is_halloween,-0.07867673061603915,0.029885291179744356
A,2,days_since_xmas,-3.73197680740868e-05,-0.0002247987696178532
A,2,days_until_thanksgiving,0.00032151106393848235,-0.00013954658012412668
A,2,days_since_july4,0.0003610193305327611,-0.00039321455127449986
A,2,days_to_nearest_holiday,0.0009846209826403446,-0.00014008708359371875
A,2,school_in_session,-0.000880016395287966,-0.0075345434385146156
A,2,days_since_school_start,0.0009449612831620273,-0.0002953072178214294
A,2,days_until_school_start,0.0012177837613606551,-0.00043343560646781604
A,2,is_covid_era,-0.05665516414754822,0.04112742132778687
A,2,temp_min,0.0007996396568702782,-9.835374485992222e-05
A,2,temp_max,0.001947351108223999,-0.0010812550851951718
A,2,precip,0.03191314328905612,-0.061351643466271706
A,2,snowfall,-0.031202720632440097,-0.00823536669395158
A,2,temp_range,0.001147711450842713,-0.0009829013403295252
A,3,const,2.4916894821732707,-0.3985427218249394
A,3,fourier_7_sin_1,-0.0008528100556405921,-0.0019121768533995318
A,3,fourier_7_cos_1,0.10762869187525137,-0.02390826480952255
A,3,fourier_7_sin_2,0.0037220533705519558,0.003526871789097241
A,3,fourier_7_cos_2,0.057785101745830715,-0.00748696230617855
A,3,fourier_7_sin_3,0.002920826962213548,-0.0035841442240592807
A,3,fourier_7_cos_3,0.05795278618377074,-0.0060144344183445985
A,3,fourier_7_sin_4,-0.0029208269622196686,0.003584144224059248
A,3,fourier_7_cos_4,0.057952786183769096,-0.006014434418344606
A,3,fourier_7_sin_5,-0.0037220533705580663,-0.003526871789096758
A,3,fourier_7_cos_5,0.05778510174581726,-0.007486962306179043
A,3,fourier_365.25_sin_1,-0.07991132055879588,-0.05401856294623721
A,3,fourier_365.25_cos_1,0.03323532761904157,-0.012612619835660829
A,3,fourier_365.25_sin_2,0.022496441032586172,-0.04152783862458533
A,3,fourier_365.25_cos_2,0.006044942922566319,-0.005637630519613466
A,3,fourier_365.25_sin_3,-0.012716900566065845,-0.005040421479429704
A,3,fourier_365.25_cos_3,-0.01055987115993885,0.004274676762287533
A,3,dow_1,0.3577449603384115,-0.059058500685467946
A,3,dow_2,0.34321015322539644,-0.054727994338032326
A,3,dow_3,0.3347356887876479,-0.05375480851485976
A,3,dow_4,0.3349827991808538,-0.049708314750475595
A,3,dow_5,0.34591298821655975,-0.05438954284399043
A,3,dow_6,0.355328229312582,-0.059280411421680286
A,3,trend,0.0018299306972453184,0.018069003445604446
A,3,is_holiday,-0.0030282989529219016,-0.0066677187080073095
A,3,is_halloween,-0.0373742202601437,0.009527767979521316
A,3,days_since_xmas,-2.3935164224512726e-05,-0.0005245252175224287
A,3,days_until_thanksgiving,0.00039436279418603675,-0.00015587413677226045
A,3,days_since_july4,0.00039784147204162884,-3.725803257190003e-05
A,3,days_to_nearest_holiday,0.0012384108640534238,-0.0010370083197298505
A,3,school_in_session,0.017197659701923225,0.031062632151215047
A,3,days_since_school_start,0.001135949444647331,-0.0009371187918076787
A,3,days_until_school_start,0.0012638575951457996,-0.0010755815238258073
A,3,is_covid_era,-0.07945282502077768,0.028251206787158013
A,3,temp_min,0.0004836052025179039,8.540187360808297e-05
A,3,temp_max,0.002892292842654395,-0.0005260435737633334
A,3,precip,0.028489883121122096,-0.07430374417104998
A,3,snowfall,-0.0727747228261022,-0.008272859552693364
A,3,temp_range,0.002408687640176003,-0.0006114454473868608
B,0,const,0.0,-0.23420618935167378
B,0,fourier_7_sin_1,0.0,0.0028918204808802885
B,0,fourier_7_cos_1,0.0,0.002127461944068505
B,0,fourier_7_sin_2,0.0,-0.009164039190984302
B,0,fourier_7_cos_2,0.0,0.008712032770507402
B,0,fourier_7_sin_3,0.0,0.012257255228803358
B,0,fourier_7_cos_3,0.0,-0.006709087493894851
