,0
aqi,3493
temp_range,3492
temp_max,3280
temp_min,3222
cdc_ili_rate,2942
days_since_epoch,2512
site_dow_mean,2203
day,2080
days_to_nearest_holiday,1917
precip,1912
site_month_block_mean,1874
site_x_dow,1650
days_since_july4,1579
dow,1441
day_of_year,1416
doy_sin,1396
doy_cos,1392
days_until_thanksgiving,1350
days_until_school_start,1246
delta_28_91,1128
roll_std_91,1123
days_since_school_start,1083
days_since_xmas,1073
roll_mean_56,1045
roll_mean_91,1025
snowfall,1018
roll_std_56,959
roll_mean_28,918
roll_max_91,901
roll_max_56,837
roll_std_28,808
roll_min_56,789
dow_sin,750
roll_min_91,737
year_frac,715
site_x_month,700
roll_max_28,694
roll_min_28,666
dow_cos,644
weekend_x_block,597
block,563
roll_mean_14,525
roll_std_14,470
roll_max_14,432
roll_min_14,367
xblock_b3_roll_mean_28,351
week_of_year,285
roll_mean_7,251
lag_rate_91,245
lag_rate_16,242
delta_7_28,236
xblock_b3_roll_mean_14,231
lag_rate_56,227
lag_rate_21,225
lag_rate_182,224
lag_rate_28,213
lag_total_182,210
holiday_x_block,208
lag_rate_364,191
roll_std_7,186
year,181
lag_total_364,165
xblock_b3_roll_mean_7,161
lag_diff,160
roll_min_7,158
is_covid_era,154
lag_total_91,141
school_in_session,136
lag_total_28,132
roll_max_7,127
lag_total_56,124
site_enc,124
lag_total_16,104
month_sin,95
lag_total_21,92
event_count,89
xblock_b3_total_21,63
xblock_b3_total_16,63
xblock_b3_total_91,62
month_cos,60
xblock_b3_total_182,58
is_halloween,56
xblock_b3_total_364,56
is_weekend,44
xblock_b3_total_56,43
xblock_b3_total_28,37
month,32
is_us_holiday,30
days_ahead,27
quarter,2
