,0
days_since_epoch,2940
temp_range,2827
site_month_block_mean,2823
temp_max,2774
aqi,2730
temp_min,2668
cdc_ili_rate,2543
site_dow_mean,2319
site_x_dow,1714
precip,1596
days_to_nearest_holiday,1521
day,1413
dow,1411
days_since_july4,1385
doy_cos,1320
days_until_thanksgiving,1267
roll_mean_91,1210
doy_sin,1168
day_of_year,1083
snowfall,1051
days_since_xmas,1003
days_until_school_start,993
block,958
delta_28_91,906
roll_std_91,900
roll_mean_56,877
weekend_x_block,860
site_x_month,856
roll_max_91,833
year_frac,788
days_since_school_start,771
roll_min_91,715
roll_mean_28,660
roll_std_56,654
dow_cos,652
dow_sin,636
roll_max_56,559
roll_max_28,540
roll_min_56,530
roll_min_28,528
roll_std_28,473
holiday_x_block,299
roll_max_14,295
is_covid_era,289
roll_std_14,274
roll_mean_14,258
roll_min_14,249
lag_rate_42,238
week_of_year,235
lag_rate_182,208
site_enc,203
lag_rate_91,184
roll_std_7,175
lag_total_364,171
lag_rate_31,156
lag_rate_364,156
lag_total_182,146
delta_7_28,144
lag_rate_35,139
lag_total_56,131
lag_total_35,130
lag_rate_56,124
school_in_session,123
roll_mean_7,122
year,117
roll_max_7,95
lag_total_91,94
lag_total_42,88
roll_min_7,83
is_halloween,81
event_count,71
month_sin,64
lag_total_31,55
lag_diff,51
month_cos,36
is_weekend,23
month,15
is_us_holiday,14
days_ahead,9
quarter,1
