site,block,feature,total_coef,rate_coef
A,0,const,1.4088812134625412,-0.2171872992754081
A,0,fourier_7_sin_1,-0.030292504810123935,0.029002404672410616
A,0,fourier_7_cos_1,0.09408547037791332,-0.01675635680636176
A,0,fourier_7_sin_2,-0.019255815403858755,0.0046521892666751856
A,0,fourier_7_cos_2,0.02403408200125691,0.011242521854315955
A,0,fourier_7_sin_3,0.005542904284831587,-0.002606048949985296
A,0,fourier_7_cos_3,0.032292905688295605,0.0010974010536510014
A,0,fourier_7_sin_4,-0.005542904284831458,0.0026060489499852564
A,0,fourier_7_cos_4,0.032292905688296035,0.0010974010536510526
A,0,fourier_7_sin_5,0.019255815403858942,-0.0046521892666753425
A,0,fourier_7_cos_5,0.02403408200125732,0.011242521854315858
A,0,fourier_365.25_sin_1,-0.04103832729499942,-0.05292831153896743
A,0,fourier_365.25_cos_1,0.039634093255696036,-0.02205979718594861
A,0,fourier_365.25_sin_2,0.02726983783378762,-0.0097294728903089
A,0,fourier_365.25_cos_2,0.037166903487320546,-0.09043377133529455
A,0,fourier_365.25_sin_3,-0.019824899272209193,0.012883702438267032
A,0,fourier_365.25_cos_3,-0.026200239071869913,0.007123205090263098
A,0,dow_1,0.1967449311846467,-0.02755761940700182
A,0,dow_2,0.1875637478148726,-0.024575919319436836
A,0,dow_3,0.1813677125830348,-0.022950159117149604
A,0,dow_4,0.17718753569680248,-0.02661057848270775
A,0,dow_5,0.2021419423041835,-0.040744053991076404
A,0,dow_6,0.21963161107935744,-0.042460373662007486
A,0,trend,0.017788955157928638,-0.004304501900531559
A,0,is_holiday,0.09141508606223327,0.010035090520904082
A,0,is_halloween,-0.10092190844036066,0.004137894031939752
A,0,days_since_xmas,0.00020741439295091766,-0.00021274261658534995
A,0,days_until_thanksgiving,0.0005183458352791291,-0.000131624205857614
A,0,days_since_july4,0.00022531175334478403,-6.654299033371345e-05
A,0,days_to_nearest_holiday,0.0014657725554324268,-0.005393632040053197
A,0,school_in_session,-0.001921190390436181,0.08512104145040987
A,0,days_since_school_start,0.0013331245486703732,-0.0007820506582929158
A,0,days_until_school_start,0.0018011411811167664,-0.0014485626789371778
A,0,is_covid_era,-0.06715694526534405,0.058235482154457494
A,0,temp_min,0.0003504744083922501,-0.000592671577576228
A,0,temp_max,0.003486342530822261,-0.00016197779842520637
A,0,precip,0.03692822444730073,-0.0009781675973614737
A,0,snowfall,-0.03363135630986148,-0.07644979198030187
A,0,temp_range,0.0031358681223900417,0.0004306937791553323
A,1,const,2.0885269600148115,-0.30750661096279996
A,1,fourier_7_sin_1,0.01798619304487277,0.03400159877041115
A,1,fourier_7_cos_1,0.10752962115229148,-0.05429656891043008
A,1,fourier_7_sin_2,-0.004125717392199021,0.007301363142928755
A,1,fourier_7_cos_2,0.06795360382745752,0.0031865773021329293
A,1,fourier_7_sin_3,-0.001794464694924623,-0.010633835510852977
A,1,fourier_7_cos_3,0.05527321588412689,-0.014346340095912166
A,1,fourier_7_sin_4,0.0017944646949242735,0.010633835510852731
A,1,fourier_7_cos_4,0.05527321588412685,-0.014346340095911934
A,1,fourier_7_sin_5,0.004125717392205256,-0.007301363142928836
A,1,fourier_7_cos_5,0.06795360382747748,0.003186577302132763
A,1,fourier_365.25_sin_1,-0.02127038983026256,0.03802124476388907
A,1,fourier_365.25_cos_1,0.055071537624293426,-0.03458388285176748
A,1,fourier_365.25_sin_2,0.028468022758626213,-0.036136980945107054
A,1,fourier_365.25_cos_2,0.024624790852903287,-0.006764109884986476
A,1,fourier_365.25_sin_3,-0.02732492275977265,0.013189870938927848
A,1,fourier_365.25_cos_3,-0.014616366626655287,0.009122359532205318
A,1,dow_1,0.30161367484027835,-0.04180061772864299
A,1,dow_2,0.2898006815727687,-0.03291198674407677
A,1,dow_3,0.28192332258680414,-0.02885072732118443
A,1,dow_4,0.2766204318912103,-0.028094774285371247
A,1,dow_5,0.2779559431072272,-0.05479486236735876
A,1,dow_6,0.2963215000532773,-0.058422317605992
A,1,trend,0.03859542945464016,0.01269261121702254
A,1,is_holiday,-0.030157463337285993,-0.033532206454211906
A,1,is_halloween,-0.037164365531060395,0.015473727238958124
A,1,days_since_xmas,4.506191445206565e-05,-4.91664015600614e-05
A,1,days_until_thanksgiving,0.0002843036844806614,-0.0001679836553433422
A,1,days_since_july4,0.0001905315629417891,-0.000347044489983668
A,1,days_to_nearest_holiday,0.0008925198372629247,-0.000652208006566567
A,1,school_in_session,0.01560904284174904,-0.017355943533220446
A,1,days_since_school_start,0.0012914487242325025,-0.0005725629611809375
A,1,days_until_school_start,0.0017444364143220637,-0.0007771250138415869
A,1,is_covid_era,-0.07437427199233744,0.056239484726025246
A,1,temp_min,0.0004694095126858974,-0.0011905777736248592
A,1,temp_max,0.0023679004839597256,-0.0012094930653005229
A,1,precip,0.03938022430567811,-0.017775291445722527
A,1,snowfall,-0.009732949020792303,-0.001768862304622297
A,1,temp_range,0.0018984909713042504,-1.89152916931995e-05
A,2,const,2.647230485277728,-0.358504559187318
A,2,fourier_7_sin_1,0.014814927295509258,0.07379573783605502
A,2,fourier_7_cos_1,0.1232087677290496,-0.04982961706661011
A,2,fourier_7_sin_2,0.004891667777606509,0.017551461108768315
A,2,fourier_7_cos_2,0.07832473968417986,0.025327944552923705
A,2,fourier_7_sin_3,-0.007753872453121225,-0.013756373798390736
A,2,fourier_7_cos_3,0.07303985037426373,-3.450327168345551e-05
A,2,fourier_7_sin_4,0.007753872453133124,0.013756373798390932
A,2,fourier_7_cos_4,0.07303985037426083,-3.450327168328853e-05
A,2,fourier_7_sin_5,-0.004891667777608305,-0.017551461108768353
A,2,fourier_7_cos_5,0.07832473968414255,0.025327944552923445
A,2,fourier_365.25_sin_1,-0.057520104133667274,0.03128405777005781
A,2,fourier_365.25_cos_1,0.049881434268156506,-0.0005929722512844626
A,2,fourier_365.25_sin_2,0.020421142576227434,-0.038864539855130116
A,2,fourier_365.25_cos_2,0.019702250560050406,-0.016195534618860426
A,2,fourier_365.25_sin_3,-0.0280478241475707,0.006447227582593977
A,2,fourier_365.25_cos_3,-0.019862673600335615,0.004713465590106777
A,2,dow_1,0.38005332803961883,-0.0420248216063849
A,2,dow_2,0.36844384428407234,-0.03311998613420744
A,2,dow_3,0.3543525111042114,-0.03247798287642084
A,2,dow_4,0.3571844942485977,-0.035269418887072496
A,2,dow_5,0.3579391056404204,-0.07602592737063817
A,2,dow_6,0.372631887553338,-0.08136114934715763
A,2,trend,0.024674255062249233,0.0222639917343656
A,2,is_holiday,-0.03193611804345338,-0.18939344790442983
A,2,is_halloween,-0.0750136747998259,0.030219166235725865
A,2,days_since_xmas,-3.365394082164265e-05,-0.00020300572220925393
A,2,days_until_thanksgiving,0.00030766022965083325,-0.00015288142518884182
A,2,days_since_july4,0.0003706685987857802,-0.00038917684854223434
