date,cdc_ili_rate
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,2.55038
2018-01-07,2.5601214285714287
2018-01-08,2.5698628571428572
2018-01-09,2.579604285714286
2018-01-10,2.5893457142857144
2018-01-11,2.599087142857143
2018-01-12,2.6088285714285715
2018-01-13,2.61857
2018-01-14,2.6398414285714287
2018-01-15,2.6611128571428573
2018-01-16,2.682384285714286
2018-01-17,2.703655714285714
2018-01-18,2.7249271428571427
2018-01-19,2.7461985714285713
2018-01-20,2.76747
2018-01-21,2.7756385714285714
2018-01-22,2.783807142857143
2018-01-23,2.7919757142857144
2018-01-24,2.8001442857142855
2018-01-25,2.808312857142857
2018-01-26,2.8164814285714286
2018-01-27,2.82465
2018-01-28,2.8853485714285716
2018-01-29,2.946047142857143
2018-01-30,3.0067457142857146
2018-01-31,3.0674442857142856
2018-02-01,3.128142857142857
2018-02-02,3.1888414285714286
2018-02-03,3.24954
2018-02-04,3.2398442857142857
2018-02-05,3.2301485714285714
2018-02-06,3.220452857142857
2018-02-07,3.210757142857143
2018-02-08,3.2010614285714287
2018-02-09,3.1913657142857144
2018-02-10,3.18167
2018-02-11,3.15947
2018-02-12,3.13727
2018-02-13,3.11507
2018-02-14,3.09287
2018-02-15,3.07067
2018-02-16,3.04847
2018-02-17,3.02627
2018-02-18,3.0138985714285713
2018-02-19,3.001527142857143
2018-02-20,2.9891557142857144
2018-02-21,2.9767842857142854
2018-02-22,2.964412857142857
2018-02-23,2.9520414285714285
2018-02-24,2.93967
2018-02-25,2.8287542857142856
2018-02-26,2.7178385714285715
2018-02-27,2.606922857142857
2018-02-28,2.496007142857143
2018-03-01,2.3850914285714286
2018-03-02,2.2741757142857146
2018-03-03,2.16326
2018-03-04,2.1246285714285715
2018-03-05,2.085997142857143
2018-03-06,2.0473657142857142
2018-03-07,2.008734285714286
2018-03-08,1.9701028571428572
2018-03-09,1.9314714285714287
2018-03-10,1.89284
2018-03-11,1.85226
2018-03-12,1.8116800000000002
2018-03-13,1.7711000000000001
2018-03-14,1.73052
2018-03-15,1.68994
2018-03-16,1.6493600000000002
2018-03-17,1.60878
2018-03-18,1.56084
2018-03-19,1.5129000000000001
2018-03-20,1.46496
2018-03-21,1.4170200000000002
2018-03-22,1.36908
2018-03-23,1.3211400000000002
2018-03-24,1.2732
2018-03-25,1.24632
2018-03-26,1.21944
2018-03-27,1.19256
2018-03-28,1.16568
2018-03-29,1.1388
2018-03-30,1.11192
2018-03-31,1.08504
2018-04-01,1.09093
2018-04-02,1.0968200000000001
2018-04-03,1.10271
2018-04-04,1.1086
2018-04-05,1.11449
2018-04-06,1.1203800000000002
2018-04-07,1.12627
2018-04-08,1.085700285714286
2018-04-09,1.0451305714285715
2018-04-10,1.0045608571428573
2018-04-11,0.9639911428571428
2018-04-12,0.9234214285714286
2018-04-13,0.8828517142857143
2018-04-14,0.842282
2018-04-15,0.8193302857142857
2018-04-16,0.7963785714285714
2018-04-17,0.7734268571428571
2018-04-18,0.7504751428571429
2018-04-19,0.7275234285714286
2018-04-20,0.7045717142857143
2018-04-21,0.68162
2018-04-22,0.6965794285714286
2018-04-23,0.7115388571428571
2018-04-24,0.7264982857142858
2018-04-25,0.7414577142857143
2018-04-26,0.7564171428571429
2018-04-27,0.7713765714285714
2018-04-28,0.786336
2018-04-29,0.7659572857142858
2018-04-30,0.7455785714285714
2018-05-01,0.7251998571428572
2018-05-02,0.7048211428571428
2018-05-03,0.6844424285714286
2018-05-04,0.6640637142857142
2018-05-05,0.643685
2018-05-06,0.6226731428571428
2018-05-07,0.6016612857142857
2018-05-08,0.5806494285714285
2018-05-09,0.5596375714285714
2018-05-10,0.5386257142857143
2018-05-11,0.5176138571428571
2018-05-12,0.496602
2018-05-13,0.5035098571428571
2018-05-14,0.5104177142857143
2018-05-15,0.5173255714285714
2018-05-16,0.5242334285714286
2018-05-17,0.5311412857142858
2018-05-18,0.5380491428571429
2018-05-19,0.544957
2018-05-20,0.5455391428571429
2018-05-21,0.5461212857142858
2018-05-22,0.5467034285714286
2018-05-23,0.5472855714285714
2018-05-24,0.5478677142857142
2018-05-25,0.5484498571428571
2018-05-26,0.549032
2018-05-27,0.5726548571428571
2018-05-28,0.5962777142857143
2018-05-29,0.6199005714285715
2018-05-30,0.6435234285714285
2018-05-31,0.6671462857142857
2018-06-01,0.6907691428571429
2018-06-02,0.714392
2018-06-03,0.6733628571428572
2018-06-04,0.6323337142857143
2018-06-05,0.5913045714285714
2018-06-06,0.5502754285714286
2018-06-07,0.5092462857142857
2018-06-08,0.4682171428571429
2018-06-09,0.427188
2018-06-10,0.4110047142857143
2018-06-11,0.3948214285714286
2018-06-12,0.37863814285714287
2018-06-13,0.36245485714285713
2018-06-14,0.34627157142857146
2018-06-15,0.3300882857142857
2018-06-16,0.313905
2018-06-17,0.31938428571428573
2018-06-18,0.3248635714285714
2018-06-19,0.33034285714285716
2018-06-20,0.33582214285714285
2018-06-21,0.3413014285714286
2018-06-22,0.34678071428571433
2018-06-23,0.35226
2018-06-24,0.343106
2018-06-25,0.333952
2018-06-26,0.32479800000000003
2018-06-27,0.315644
2018-06-28,0.30649
2018-06-29,0.297336
2018-06-30,0.288182
2018-07-01,0.2787165714285714
2018-07-02,0.26925114285714286
2018-07-03,0.2597857142857143
2018-07-04,0.2503202857142857
2018-07-05,0.24085485714285715
2018-07-06,0.23138942857142858
2018-07-07,0.221924
2018-07-08,0.22595185714285715
2018-07-09,0.2299797142857143
2018-07-10,0.23400757142857143
