site,block,feature,total_coef,rate_coef
A,0,const,1.3928727540552996,-0.2191661435342616
A,0,fourier_7_sin_1,-0.030026547793138854,0.02417383285580779
A,0,fourier_7_cos_1,0.09196695978709848,-0.015799596093153387
A,0,fourier_7_sin_2,-0.017984540831701794,0.003474587931196149
A,0,fourier_7_cos_2,0.022828712268266847,0.009852946759369732
A,0,fourier_7_sin_3,0.004793622689506664,-0.002996931840731973
A,0,fourier_7_cos_3,0.031154266309177,0.002180563816246939
A,0,fourier_7_sin_4,-0.0047936226895069056,0.0029969318407319805
A,0,fourier_7_cos_4,0.031154266309177003,0.002180563816247163
A,0,fourier_7_sin_5,0.017984540831701572,-0.003474587931196169
A,0,fourier_7_cos_5,0.022828712268267097,0.009852946759369569
A,0,fourier_365.25_sin_1,-0.047364292409865026,-0.027030594647592703
A,0,fourier_365.25_cos_1,0.03512129683510533,-0.025941444551658727
A,0,fourier_365.25_sin_2,0.027140623078492247,0.0034687806138770727
A,0,fourier_365.25_cos_2,0.04216128037411235,-0.05496731569568362
A,0,fourier_365.25_sin_3,-0.001362495556281383,-0.0009704375315953469
A,0,fourier_365.25_cos_3,-0.029634564281978387,0.013180553847661688
A,0,dow_1,0.19477099767380696,-0.029315442711320677
A,0,dow_2,0.18560282476043005,-0.025480484862271377
A,0,dow_3,0.17902408233941963,-0.02423995388095815
A,0,dow_4,0.1757633475101949,-0.027011552882462136
A,0,dow_5,0.2000132961097726,-0.03942521220853424
A,0,dow_6,0.21701640126390115,-0.041308023478810074
A,0,trend,0.01795288332834876,-0.0039565735904345655
A,0,is_holiday,0.10288155488551345,-0.000361385476393982
A,0,is_halloween,-0.10122894328887035,0.007155871083313516
A,0,days_since_xmas,0.0002613214742080049,-0.0001992880045097021
A,0,days_until_thanksgiving,0.0005405752449154916,-0.00026149356819251784
A,0,days_since_july4,0.00019449778473437226,-1.5287668206449038e-06
A,0,days_to_nearest_holiday,0.0022340330551613215,-0.004403104431595021
A,0,school_in_session,-0.011913318993663881,0.09490264761635998
A,0,days_since_school_start,0.0013807642927385106,-0.0008618991196166783
A,0,days_until_school_start,0.0018689954281061764,-0.001416171343940412
A,0,is_covid_era,-0.06452912207940659,0.056022327638521524
A,0,temp_min,0.0003415981193686025,-0.0006688301807722492
A,0,temp_max,0.0032432185565631853,-0.0001954260037056066
A,0,precip,0.031139380970614854,-0.005187613080366152
A,0,snowfall,-0.035322998070487235,-0.07992280488505427
A,0,temp_range,0.0029016204371612995,0.00047340417706280883
A,1,const,2.0660770305163667,-0.29829670652103657
A,1,fourier_7_sin_1,0.017939276530995855,0.027499183672876876
A,1,fourier_7_cos_1,0.1062425567663214,-0.05537892953417206
A,1,fourier_7_sin_2,-0.0042557592057412014,0.0047396166981453
A,1,fourier_7_cos_2,0.06839930102382456,5.819666004189669e-05
A,1,fourier_7_sin_3,-0.001960605533810605,-0.008545436671189012
A,1,fourier_7_cos_3,0.055258752809669215,-0.012494985588844942
A,1,fourier_7_sin_4,0.001960605533812893,0.00854543667118916
A,1,fourier_7_cos_4,0.05525875280965774,-0.012494985588844794
A,1,fourier_7_sin_5,0.004255759205741421,-0.004739616698145348
A,1,fourier_7_cos_5,0.0683993010238324,5.819666004159063e-05
A,1,fourier_365.25_sin_1,-0.02541712702353067,0.03174542891076373
A,1,fourier_365.25_cos_1,0.053948358980955145,-0.03392148184003836
A,1,fourier_365.25_sin_2,0.029305092789163517,-0.04018594454089433
A,1,fourier_365.25_cos_2,0.034594292788713295,-0.006276917328710952
A,1,fourier_365.25_sin_3,-0.01147729318486379,0.0033128381976190967
A,1,fourier_365.25_cos_3,-0.01823171698366258,0.012015151837820993
A,1,dow_1,0.29808535185327484,-0.04286260625235193
A,1,dow_2,0.28659823416987407,-0.03235255459317257
A,1,dow_3,0.2791047755345775,-0.02758351387792165
A,1,dow_4,0.27384797676458045,-0.027523332365180505
A,1,dow_5,0.27467316601992603,-0.05031505203940086
A,1,dow_6,0.2929277759290043,-0.055669912614868096
A,1,trend,0.03905200726927416,0.015117066754419007
A,1,is_holiday,-0.03416367466019982,-0.0419517668187369
A,1,is_halloween,-0.04225719877704933,0.01574273704430857
A,1,days_since_xmas,8.525966144133957e-05,-0.00016286018844152562
A,1,days_until_thanksgiving,0.00028692764815662817,-0.00016975729176358823
A,1,days_since_july4,0.00016945857512293668,-0.0003339252313350272
